ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2021,7,"7,378","4,256",34.84,sábado,07/10/2021 07:30:00 PM,8.3
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2021,7,"8,936","1,727",46.87,sábado,07/17/2021 07:30:00 PM,7.14
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2021,7,"26,959","9,298",172.13,miércoles,07/28/2021 07:15:00 PM,5.54
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2021,7,"7,033","4,386",40.25,martes,07/27/2021 07:45:00 PM,6.36
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2021,7,"15,828","6,815",67.97,jueves,07/15/2021 09:00:00 PM,9.28
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2021,7,"4,556","2,748",25.66,martes,07/13/2021 07:00:00 PM,7.6
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2021,7,"514,513","198,418","1,253.3",viernes,07/23/2021 07:45:00 PM,18.53
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2021,7,"337,622","128,121",818.4,domingo,07/04/2021 08:00:00 PM,18.51
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2021,7,"24,539","8,898",122.83,lunes,07/19/2021 07:45:00 PM,8.45
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2021,7,"49,047","14,040",118.98,lunes,07/19/2021 12:00:00 PM,23.58
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2021,7,"674,516","236,268","1,286.56",jueves,07/22/2021 07:45:00 PM,23.52
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2021,7,"59,119","20,817",139.51,lunes,07/12/2021 07:30:00 PM,21.49
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2021,7,"159,362","65,978",338.45,jueves,07/22/2021 07:30:00 PM,23.46
